id,country,origin_country,shipment_mode_clean,textile_type,weight_raw,weight_unit,weight_kg,distance_km,emission_factor,carbon_footprint_kg_co2e,carbon_intensity_per_km,freight_cost_usd,line_item_value
176,Nigeria,Unkown,Air,Recycled Polyester,3263,kg,3263.0,7000.0,0.602,13750.282,1.9643259999999998,20885.78,270000.0
262,South Africa,Unkown,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,317.6
269,Vietnam,Unkown,Air,Organic Cotton,76,kg,76.0,7000.0,0.602,320.264,0.045752,2282.57,17000.0
270,Vietnam,India,Air,Organic Cotton,23,kg,23.0,4100.0,0.602,56.7686,0.013846,2149.05,3352.0
284,Rwanda,Japan,Air,Recycled Polyester,99,kg,99.0,7000.0,0.602,417.186,0.059598,0.75,15.0
305,Nigeria,Japan,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,6.5
343,South Africa,Unkown,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,340.0
361,Haiti,Unkown,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,278.0
391,Côte d'Ivoire,Unkown,Air,Recycled Polyester,509,kg,509.0,7000.0,0.602,2144.926,0.30641799999999997,5446.51,36176.0
392,Côte d'Ivoire,Unkown,Air,Recycled Polyester,206,kg,206.0,7000.0,0.602,868.084,0.124012,2656.12,13180.0
398,Guyana,Japan,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,2.4
399,Guyana,Japan,Air,Recycled Polyester,14,kg,14.0,7000.0,0.602,58.995999999999995,0.008428,360,2.13
400,Ethiopia,Unkown,Unknown,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,13399.25
410,Zimbabwe,Japan,Air,Recycled Polyester,373,kg,373.0,7000.0,0.602,1571.822,0.224546,4112.46,117631.66
411,Nigeria,Unkown,Air,Recycled Polyester,483,kg,483.0,7000.0,0.602,2035.3619999999999,0.29076599999999997,5468.88,38475.0
414,Namibia,Japan,Air,Recycled Polyester,33,kg,33.0,7000.0,0.602,139.06199999999998,0.019865999999999998,1715.17,10222.58
420,Vietnam,India,Air,Organic Cotton,654,kg,654.0,4100.0,0.602,1614.2028,0.393708,4051.34,96432.0
422,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,405.06
423,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,870.0
438,Vietnam,Unkown,Air,Organic Cotton,81,kg,81.0,7000.0,0.602,341.334,0.048762,2211.05,2800.0
459,South Africa,Unkown,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,77.1
464,Nigeria,Japan,Air,Recycled Polyester,1251,kg,1251.0,7000.0,0.602,5271.714,0.7531019999999999,16090.22,439785.02
465,Nigeria,Japan,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,54.98
466,Ethiopia,Unkown,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,691.42
530,Vietnam,India,Air,Organic Cotton,1537,kg,1537.0,4100.0,0.602,3793.6234,0.925274,13507.92,18359.04
531,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,103.4
532,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,1906.0
533,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,1025.1
535,Tanzania,Unkown,Air,Organic Cotton,117,kg,117.0,7000.0,0.602,493.038,0.070434,645.1,61470.99
543,Haiti,Unkown,Air,Recycled Polyester,109,kg,109.0,7000.0,0.602,459.32599999999996,0.065618,782.13,9800.0
551,Haiti,Unkown,Air,Recycled Polyester,54,kg,54.0,7000.0,0.602,227.55599999999998,0.032507999999999995,871.57,11676.0
598,South Africa,United Kingdom,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,9672.1334,0.0626,633.93290172948,0.0655422,Freight Included in Commodity Cost,1049.4
610,Vietnam,India,Air,Organic Cotton,2719,kg,2719.0,4100.0,0.602,6711.0358,1.636838,18614.72,92736.0
630,Nigeria,Unkown,Air,Bamboo Textile,115,kg,115.0,7000.0,0.602,484.60999999999996,0.06923,1755.87,1547.68
637,Vietnam,India,Air,Organic Cotton,2600,kg,2600.0,4100.0,0.602,6417.32,1.5652,10179.16,60900.0
646,South Africa,Germany,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,9700.0,0.0626,635.75934,0.0655422,Freight Included in Commodity Cost,696.5
660,Vietnam,India,Air,Organic Cotton,1224,kg,1224.0,4100.0,0.602,3021.0768,0.736848,4686.88,171192.0
668,Guyana,Unkown,Air,Linen Blend,34,kg,34.0,7000.0,0.602,143.276,0.020468,180,3675.0
670,Zambia,Japan,Air,Recycled Polyester,1053,kg,1053.0,7000.0,0.602,4437.342,0.633906,11062.05,323955.0
712,Namibia,Unkown,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,320.0
717,Côte d'Ivoire,Unkown,Air,Recycled Polyester,562,kg,562.0,7000.0,0.602,2368.268,0.338324,11298.13,38000.0
719,Côte d'Ivoire,Unkown,Air,Bamboo Textile,1708,kg,1708.0,7000.0,0.602,7197.512,1.028216,12830.91,9750.0
772,Nigeria,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,453.6
791,Namibia,Japan,Air,Recycled Polyester,46,kg,46.0,7000.0,0.602,193.844,0.027691999999999998,2698.04,10798.5
796,Botswana,Unkown,Air,Recycled Polyester,1,kg,1.0,7000.0,0.602,4.2139999999999995,0.0006019999999999999,578.01,450.0
797,Zambia,Unkown,Air,Recycled Polyester,100,kg,100.0,7000.0,0.602,421.4,0.0602,1122.24,6380.0
835,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,1830.4
836,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,2745.6
837,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,858.0
838,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,91.35
2947,Vietnam,India,Air,Organic Cotton,83,kg,83.0,4100.0,0.602,204.8606,0.049966,2426.05,600.0
839,South Africa,United Kingdom,Truck,Organic Cotton,Weight Captured Separately,lbs,1047.0,9672.1334,0.0626,633.93290172948,0.0655422,Freight Included in Commodity Cost,1375.6
849,Guyana,Unkown,Air,Linen Blend,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,4050.0
858,Tanzania,Unkown,Air,Organic Cotton,4093,kg,4093.0,7000.0,0.602,17247.902,2.463986,9339,2520000.0
914,Côte d'Ivoire,Unkown,Air,Hemp Fabric,5209,kg,5209.0,7000.0,0.602,21950.726,3.135818,25405.22,2731.4
937,Mozambique,Unkown,Air,Recycled Polyester,1906,kg,1906.0,7000.0,0.602,8031.884,1.147412,23914.8,182400.0
960,Vietnam,India,Air,Organic Cotton,3509,kg,3509.0,4100.0,0.602,8660.9138,2.112418,12835.2,51350.04
961,Vietnam,India,Air,Organic Cotton,See ASN-3562 (ID#:960),kg,1047.0,4100.0,0.602,2584.2054,0.6302939999999999,See ASN-3562 (ID#:960),50400.0
962,Vietnam,India,Air,Organic Cotton,924,kg,924.0,4100.0,0.602,2280.6168,0.556248,4225.93,72864.0
979,Vietnam,India,Air,Organic Cotton,211,kg,211.0,4100.0,0.602,520.7902,0.127022,892.5,20250.72
985,Tanzania,United Kingdom,Air,Organic Cotton,644,lbs,644.0,7483.431,0.602,2901.2363975279995,0.387688,6668.61,21536.4
986,Tanzania,Germany,Air,Organic Cotton,237,lbs,236.99999999999997,7300.0,0.602,1041.5201999999997,0.14267399999999997,Freight Included in Commodity Cost,21526.32
993,Rwanda,India,Air,Recycled Polyester,2800,kg,2800.0,7000.0,0.602,11799.199999999999,1.6855999999999998,12595.81,185602.5
1037,Nigeria,Unkown,Air,Organic Cotton,11,kg,11.0,7000.0,0.602,46.354,0.006622,463,4734.0
1046,Haiti,Unkown,Air,Organic Cotton,43,kg,43.0,7000.0,0.602,181.202,0.025886,260,760.0
1047,Haiti,Unkown,Air,Organic Cotton,See ASN-3675 (ID#:1046),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See ASN-3675 (ID#:1046),402.88
1048,Haiti,Germany,Air,Organic Cotton,10,lbs,10.0,8700.0,0.602,52.373999999999995,0.006019999999999999,893.22,472.88
1063,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,47522.75
1065,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,49840.0
1066,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,3588.48
1067,South Africa,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,1152.0
1068,South Africa,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,10512.0
1070,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,3384.0
1077,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,1954.9
1078,South Africa,India,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.0626,553.83159,0.0655422,Freight Included in Commodity Cost,16642.0
1079,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,1932.3
1080,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,10665.0
1084,South Africa,Germany,Air,Organic Cotton,Weight Captured Separately,lbs,1047.0,9700.0,0.602,6113.8517999999995,0.6302939999999999,Freight Included in Commodity Cost,134385.3
1085,South Africa,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,80640.0
1086,South Africa,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.602,5325.984299999999,0.6302939999999999,Freight Included in Commodity Cost,35016.0
1095,Botswana,Unkown,Air,Recycled Polyester,48,kg,48.0,7000.0,0.602,202.272,0.028895999999999998,1172.11,7000.0
1109,Côte d'Ivoire,Germany,Air,Organic Cotton,2523,lbs,2523.0,4700.0,0.602,7138.5762,1.5188460000000001,14806.48,420864.0
1110,Côte d'Ivoire,United Kingdom,Air,Organic Cotton,175,lbs,175.0,4795.8332,0.602,505.24102761999995,0.10534999999999999,7642.97,15344.0
1111,South Africa,United Kingdom,Truck,Organic Cotton,Weight Captured Separately,lbs,1047.0,9672.1334,0.0626,633.93290172948,0.0655422,Freight Included in Commodity Cost,1080.0
1114,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,2816.0
1115,South Africa,India,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.0626,553.83159,0.0655422,3134.85,19770.0
1122,Haiti,Unkown,Air,Recycled Polyester,144,kg,144.0,7000.0,0.602,606.8159999999999,0.08668799999999999,3128.19,21000.0
1134,Kenya,Japan,Air,Recycled Polyester,2215,kg,2215.0,7000.0,0.602,9334.009999999998,1.3334299999999997,16835.31,600000.0
1140,Nigeria,Japan,Air,Recycled Polyester,1915,kg,1915.0,7000.0,0.602,8069.8099999999995,1.15283,24514.33,511600.0
1156,Rwanda,India,Air,Organic Cotton,4482,kg,4482.0,7000.0,0.602,18887.148,2.6981640000000002,37404.74,386384.88
1162,Côte d'Ivoire,Unkown,Air,Recycled Polyester,1101,kg,1101.0,7000.0,0.602,4639.614,0.6628019999999999,8074.03,110000.0
1179,Vietnam,United States,Air,Organic Cotton,48,lbs,48.0,7000.0,0.602,202.272,0.028895999999999998,3366.04,613.76
1183,Vietnam,India,Air,Organic Cotton,1804,kg,1804.0,4100.0,0.602,4452.6328,1.086008,6341.88,39025.0
1196,Botswana,Unkown,Air,Recycled Polyester,12,kg,12.0,7000.0,0.602,50.568,0.0072239999999999995,684.42,1750.0
1198,Namibia,Unkown,Air,Recycled Polyester,48,kg,48.0,7000.0,0.602,202.272,0.028895999999999998,401.97,5025.0
1213,Vietnam,Unkown,Air,Organic Cotton,148,kg,148.0,7000.0,0.602,623.672,0.08909600000000001,14.36,2800.0
1215,Namibia,Unkown,Air,Recycled Polyester,79,kg,79.0,7000.0,0.602,332.906,0.047558,1736.18,7040.0
1221,South Africa,United Kingdom,Truck,Organic Cotton,Weight Captured Separately,lbs,1047.0,9672.1334,0.0626,633.93290172948,0.0655422,Freight Included in Commodity Cost,490.0
1222,South Africa,India,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.0626,553.83159,0.0655422,Freight Included in Commodity Cost,41300.0
1223,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,2838.2
1245,Côte d'Ivoire,Unkown,Air,Recycled Polyester,165,kg,165.0,7000.0,0.602,695.31,0.09932999999999999,1816.57,11076.45
1246,Côte d'Ivoire,Unkown,Air,Recycled Polyester,15,kg,15.0,7000.0,0.602,63.21,0.00903,1039.5,2400.0
1251,Vietnam,Unkown,Air,Organic Cotton,555,kg,555.0,7000.0,0.602,2338.77,0.33411,3292.15,19600.0
1262,Haiti,Unkown,Air,Recycled Polyester,36,kg,36.0,7000.0,0.602,151.70399999999998,0.021671999999999997,1195.29,6000.0
1279,Zimbabwe,United States,Air,Organic Cotton,135,lbs,135.0,7000.0,0.602,568.8900000000001,0.08127000000000001,Freight Included in Commodity Cost,11096.8
1281,Nigeria,India,Air,Organic Cotton,479,kg,479.0,8100.0,0.602,2335.6998,0.288358,4861.14,2994.9
1282,Vietnam,India,Air,Organic Cotton,2575,kg,2575.0,4100.0,0.602,6355.615,1.55015,18772.94,276100.0
1283,Vietnam,India,Air,Organic Cotton,9170,kg,9170.0,4100.0,0.602,22633.394,5.52034,42453.21,144205.0
1285,Guyana,Unkown,Air,Recycled Polyester,316,kg,316.0,7000.0,0.602,1331.624,0.190232,4989.87,36000.0
1295,Mozambique,Unkown,Air,Organic Cotton,25,kg,25.0,7000.0,0.602,105.35,0.01505,Freight Included in Commodity Cost,3288.0
1298,Vietnam,India,Air,Organic Cotton,6813,kg,6813.0,4100.0,0.602,16815.8466,4.101426,31858.09,525000.0
1299,Rwanda,India,Air,Organic Cotton,See ASN-242 (ID#:64),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See ASN-242 (ID#:64),1087970.4
1300,Rwanda,India,Air,Organic Cotton,See ASN-242 (ID#:64),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See ASN-242 (ID#:64),202340.5
1303,Ethiopia,United States,Air,Recycled Polyester,Weight Captured Separately,lbs,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,16000.0
1306,Vietnam,India,Air,Organic Cotton,2348,kg,2348.0,4100.0,0.602,5795.333599999999,1.4134959999999999,21439.59,187500.0
1307,Nigeria,Unkown,Air,Recycled Polyester,402,kg,402.0,7000.0,0.602,1694.028,0.242004,4445.75,28500.0
1309,Ethiopia,United States,Air,Recycled Polyester,1707,lbs,1707.0,7000.0,0.602,7193.298,1.027614,24859.45,372000.0
1337,Côte d'Ivoire,Unkown,Air,Organic Cotton,306,kg,306.0,7000.0,0.602,1289.484,0.184212,Freight Included in Commodity Cost,14981.5
1347,Nigeria,United States,Air,Recycled Polyester,1194,lbs,1194.0,8658.2492,0.602,6223.4456259696,0.718788,5858.57,280000.0
1350,Côte d'Ivoire,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,40565.0
1356,Vietnam,India,Air,Organic Cotton,960,kg,960.0,4100.0,0.602,2369.4719999999998,0.57792,13762.41,1920.0
1357,Vietnam,India,Air,Organic Cotton,See ASN-744 (ID#:1356),kg,1047.0,4100.0,0.602,2584.2054,0.6302939999999999,See ASN-744 (ID#:1356),2100.0
1358,Vietnam,India,Air,Organic Cotton,See ASN-781 (ID#:115),kg,1047.0,4100.0,0.602,2584.2054,0.6302939999999999,See ASN-781 (ID#:115),2100.0
1359,Vietnam,India,Air,Organic Cotton,332,kg,332.0,4100.0,0.602,819.4424,0.199864,4454.62,40500.0
1360,Vietnam,India,Air,Organic Cotton,1955,kg,1955.0,4100.0,0.602,4825.331,1.1769100000000001,16095.39,277425.0
1361,Vietnam,Germany,Air,Organic Cotton,117,lbs,117.00000000000001,9000.0,0.602,633.9060000000001,0.07043400000000001,1767.38,41095.0
1383,Tanzania,Unkown,Air,Recycled Polyester,3336,kg,3336.0,7000.0,0.602,14057.903999999999,2.008272,25165.3,200000.0
1502,Rwanda,Unkown,Air,Organic Cotton,157,kg,157.0,7000.0,0.602,661.598,0.09451399999999999,7922.24,27353.0
1512,South Africa,United Kingdom,Unknown,Organic Cotton,Weight Captured Separately,lbs,1047.0,9672.1334,0.15,1519.0085504699998,0.15704999999999997,Freight Included in Commodity Cost,1447.8
1513,South Africa,Unkown,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,2850.0
1519,Vietnam,United Kingdom,Air,Organic Cotton,337,lbs,337.0,9543.3862,0.602,1936.1049319388,0.202874,2535.4,18333.0
1527,Nigeria,Unkown,Air,Recycled Polyester,3336,kg,3336.0,7000.0,0.602,14057.903999999999,2.008272,28002.75,270000.0
1529,Rwanda,India,Air,Organic Cotton,113,kg,113.0,7000.0,0.602,476.18199999999996,0.06802599999999999,1511.25,30222.5
1530,Vietnam,India,Air,Organic Cotton,125,kg,125.0,4100.0,0.602,308.525,0.07525,2429.85,2100.0
1531,Kazakhstan,Unkown,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,17500.0
1549,Nigeria,Japan,Air,Recycled Polyester,148,kg,148.0,7000.0,0.602,623.672,0.08909600000000001,2577.27,51993.5
1587,South Africa,Unkown,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.15,1099.35,0.15705,Freight Included in Commodity Cost,573.0
1593,Botswana,Unkown,Air,Recycled Polyester,154,kg,154.0,7000.0,0.602,648.956,0.092708,2496.62,14400.0
1594,Nigeria,Unkown,Air,Recycled Polyester,2907,kg,2907.0,7000.0,0.602,12250.098,1.750014,18864.37,277290.0
1618,Mozambique,Unkown,Air,Recycled Polyester,9000,kg,9000.0,7000.0,0.602,37926.0,5.418,55746.59,288000.0
1628,Zambia,Unkown,Air,Recycled Polyester,2052,kg,2052.0,7000.0,0.602,8647.128,1.2353040000000002,24689,193280.0
1634,Zambia,Japan,Air,Recycled Polyester,284,kg,284.0,7000.0,0.602,1196.7759999999998,0.17096799999999998,Freight Included in Commodity Cost,43.0
1637,Côte d'Ivoire,Unkown,Air,Recycled Polyester,79,kg,79.0,7000.0,0.602,332.906,0.047558,1104.69,7803.0
1638,Mozambique,Japan,Air,Recycled Polyester,682,kg,682.0,7000.0,0.602,2873.948,0.410564,5298.9,215970.0
1643,Côte d'Ivoire,Japan,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,0.7
1644,Côte d'Ivoire,Japan,Air,Recycled Polyester,255,kg,255.0,7000.0,0.602,1074.57,0.15350999999999998,5175.72,78120.0
1645,Côte d'Ivoire,Japan,Air,Recycled Polyester,256,kg,256.0,7000.0,0.602,1078.7839999999999,0.15411199999999997,7118.12,78120.0
1646,Guyana,Unkown,Air,Recycled Polyester,832,kg,832.0,7000.0,0.602,3506.048,0.500864,3740.04,26624.0
1647,Guyana,Japan,Air,Recycled Polyester,49,kg,49.0,7000.0,0.602,206.486,0.029498,959.46,15333.87
1648,Botswana,Unkown,Air,Recycled Polyester,39,kg,39.0,7000.0,0.602,164.346,0.023478,604,3500.0
1861,Rwanda,Unkown,Air,Recycled Polyester,234,kg,234.0,7000.0,0.602,986.076,0.140868,5446.06,47260.0
1660,Zimbabwe,Japan,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,16.34
1673,South Africa,United Kingdom,Truck,Organic Cotton,Weight Captured Separately,lbs,1047.0,9672.1334,0.0626,633.93290172948,0.0655422,Freight Included in Commodity Cost,15760.0
1674,South Africa,United States,Truck,Organic Cotton,Weight Captured Separately,lbs,1047.0,13598.923,0.0626,891.3033310506,0.0655422,Freight Included in Commodity Cost,47.28
1675,South Africa,Unkown,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.0626,458.7954,0.0655422,Freight Included in Commodity Cost,10925.0
1691,Vietnam,India,Air,Organic Cotton,507,kg,507.0,4100.0,0.602,1251.3773999999999,0.305214,4159.45,29232.0
1693,Vietnam,India,Air,Organic Cotton,522,kg,522.0,4100.0,0.602,1288.4004000000002,0.3142440000000001,3796.05,77145.6
1719,Côte d'Ivoire,Japan,Air,Recycled Polyester,17,kg,17.0,7000.0,0.602,71.638,0.010234,Freight Included in Commodity Cost,2.5
1722,South Africa,India,Unknown,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.15,1327.0725,0.15705,Freight Included in Commodity Cost,4614.0
